,BOT_X,BOT_Y,CREW_X,CREW_Y,Optimal_Direction
484,0,4,0,0,STAY
485,0,4,0,1,STAY
486,0,4,0,2,STAY
487,0,4,0,3,STAY
488,0,4,0,4,STAY
489,0,4,0,5,STAY
490,0,4,0,6,STAY
491,0,4,0,7,STAY
492,0,4,0,8,STAY
493,0,4,0,9,STAY
494,0,4,0,10,STAY
495,0,4,1,0,STAY
496,0,4,1,1,STAY
497,0,4,1,2,STAY
498,0,4,1,3,STAY
499,0,4,1,4,STAY
500,0,4,1,5,STAY
501,0,4,1,6,STAY
502,0,4,1,7,STAY
503,0,4,1,8,STAY
504,0,4,1,9,STAY
505,0,4,1,10,STAY
506,0,4,2,0,STAY
507,0,4,2,1,STAY
508,0,4,2,2,STAY
509,0,4,2,3,STAY
510,0,4,2,4,STAY
511,0,4,2,5,STAY
512,0,4,2,6,STAY
513,0,4,2,7,STAY
514,0,4,2,8,STAY
515,0,4,2,9,STAY
516,0,4,2,10,STAY
517,0,4,3,0,STAY
518,0,4,3,1,STAY
519,0,4,3,2,STAY
520,0,4,3,3,STAY
521,0,4,3,4,STAY
522,0,4,3,5,STAY
523,0,4,3,6,STAY
524,0,4,3,7,STAY
525,0,4,3,8,STAY
526,0,4,3,9,STAY
527,0,4,3,10,STAY
528,0,4,4,0,STAY
529,0,4,4,1,STAY
530,0,4,4,2,STAY
531,0,4,4,3,STAY
532,0,4,4,4,STAY
533,0,4,4,5,STAY
534,0,4,4,6,STAY
535,0,4,4,7,STAY
536,0,4,4,8,STAY
537,0,4,4,9,STAY
538,0,4,4,10,STAY
539,0,4,5,0,STAY
540,0,4,5,1,STAY
541,0,4,5,2,STAY
542,0,4,5,3,STAY
543,0,4,5,4,STAY
544,0,4,5,5,STAY
545,0,4,5,6,STAY
546,0,4,5,7,STAY
547,0,4,5,8,STAY
548,0,4,5,9,STAY
549,0,4,5,10,STAY
550,0,4,6,0,STAY
551,0,4,6,1,STAY
552,0,4,6,2,STAY
553,0,4,6,3,STAY
554,0,4,6,4,STAY
555,0,4,6,5,STAY
556,0,4,6,6,STAY
557,0,4,6,7,STAY
558,0,4,6,8,STAY
559,0,4,6,9,STAY
560,0,4,6,10,STAY
561,0,4,7,0,STAY
562,0,4,7,1,STAY
563,0,4,7,2,STAY
564,0,4,7,3,STAY
565,0,4,7,4,STAY
566,0,4,7,5,STAY
567,0,4,7,6,STAY
568,0,4,7,7,STAY
569,0,4,7,8,STAY
570,0,4,7,9,STAY
571,0,4,7,10,STAY
572,0,4,8,0,STAY
573,0,4,8,1,STAY
574,0,4,8,2,STAY
575,0,4,8,3,STAY
576,0,4,8,4,STAY
577,0,4,8,5,STAY
578,0,4,8,6,STAY
579,0,4,8,7,STAY
580,0,4,8,8,STAY
581,0,4,8,9,STAY
582,0,4,8,10,STAY
583,0,4,9,0,STAY
584,0,4,9,1,STAY
585,0,4,9,2,STAY
586,0,4,9,3,STAY
587,0,4,9,4,STAY
588,0,4,9,5,STAY
589,0,4,9,6,STAY
590,0,4,9,7,STAY
591,0,4,9,8,STAY
592,0,4,9,9,STAY
593,0,4,9,10,STAY
594,0,4,10,0,STAY
595,0,4,10,1,STAY
596,0,4,10,2,STAY
597,0,4,10,3,STAY
598,0,4,10,4,STAY
599,0,4,10,5,STAY
600,0,4,10,6,STAY
601,0,4,10,7,STAY
602,0,4,10,8,STAY
603,0,4,10,9,STAY
604,0,4,10,10,STAY
605,0,5,0,0,NE
606,0,5,0,1,STAY
607,0,5,0,2,NE
608,0,5,0,3,NE
609,0,5,0,4,STAY
610,0,5,0,5,STAY
611,0,5,0,6,SE
612,0,5,0,7,SOUTH
613,0,5,0,8,SE
614,0,5,0,9,SOUTH
615,0,5,0,10,SOUTH
616,0,5,1,0,NE
617,0,5,1,1,NE
618,0,5,1,2,NE
619,0,5,1,3,NE
620,0,5,1,4,EAST
621,0,5,1,5,SE
622,0,5,1,6,EAST
623,0,5,1,7,SE
624,0,5,1,8,SE
625,0,5,1,9,SE
626,0,5,1,10,SE
627,0,5,2,0,NE
628,0,5,2,1,NE
629,0,5,2,2,NE
630,0,5,2,3,NE
631,0,5,2,4,STAY
632,0,5,2,5,EAST
633,0,5,2,6,SE
634,0,5,2,7,SE
635,0,5,2,8,SE
636,0,5,2,9,SE
637,0,5,2,10,SE
638,0,5,3,0,NE
639,0,5,3,1,NE
640,0,5,3,2,NE
641,0,5,3,3,NE
642,0,5,3,4,NE
643,0,5,3,5,SE
644,0,5,3,6,SE
645,0,5,3,7,SE
646,0,5,3,8,SE
647,0,5,3,9,SE
648,0,5,3,10,SE
649,0,5,4,0,NE
650,0,5,4,1,NE
651,0,5,4,2,NE
652,0,5,4,3,NE
653,0,5,4,4,STAY
654,0,5,4,5,EAST
655,0,5,4,6,STAY
656,0,5,4,7,SE
657,0,5,4,8,SE
658,0,5,4,9,SE
659,0,5,4,10,SE
660,0,5,5,0,NE
661,0,5,5,1,STAY
662,0,5,5,2,NE
663,0,5,5,3,NE
664,0,5,5,4,NE
665,0,5,5,5,STAY
666,0,5,5,6,SE
667,0,5,5,7,SE
668,0,5,5,8,SE
669,0,5,5,9,SE
670,0,5,5,10,SE
671,0,5,6,0,STAY
672,0,5,6,1,EAST
673,0,5,6,2,STAY
674,0,5,6,3,STAY
675,0,5,6,4,STAY
676,0,5,6,5,EAST
677,0,5,6,6,STAY
678,0,5,6,7,SE
679,0,5,6,8,SE
680,0,5,6,9,SE
681,0,5,6,10,SE
682,0,5,7,0,EAST
683,0,5,7,1,EAST
684,0,5,7,2,EAST
685,0,5,7,3,EAST
686,0,5,7,4,STAY
687,0,5,7,5,EAST
688,0,5,7,6,EAST
689,0,5,7,7,SE
690,0,5,7,8,SE
691,0,5,7,9,SE
692,0,5,7,10,SE
693,0,5,8,0,EAST
694,0,5,8,1,EAST
695,0,5,8,2,EAST
696,0,5,8,3,EAST
697,0,5,8,4,EAST
698,0,5,8,5,EAST
699,0,5,8,6,EAST
700,0,5,8,7,EAST
701,0,5,8,8,SE
702,0,5,8,9,SE
703,0,5,8,10,SE
704,0,5,9,0,EAST
705,0,5,9,1,EAST
706,0,5,9,2,EAST
707,0,5,9,3,EAST
708,0,5,9,4,EAST
709,0,5,9,5,EAST
710,0,5,9,6,EAST
711,0,5,9,7,EAST
712,0,5,9,8,EAST
713,0,5,9,9,SE
714,0,5,9,10,EAST
715,0,5,10,0,EAST
716,0,5,10,1,EAST
717,0,5,10,2,EAST
718,0,5,10,3,STAY
719,0,5,10,4,STAY
720,0,5,10,5,EAST
721,0,5,10,6,EAST
722,0,5,10,7,EAST
723,0,5,10,8,EAST
724,0,5,10,9,EAST
725,0,5,10,10,SE
726,0,6,0,0,NORTH
727,0,6,0,1,STAY
728,0,6,0,2,NORTH
729,0,6,0,3,NORTH
730,0,6,0,4,STAY
731,0,6,0,5,NE
732,0,6,0,6,STAY
733,0,6,0,7,SE
734,0,6,0,8,SOUTH
735,0,6,0,9,SE
736,0,6,0,10,SOUTH
737,0,6,1,0,NORTH
738,0,6,1,1,NORTH
739,0,6,1,2,NORTH
740,0,6,1,3,NORTH
741,0,6,1,4,NE
742,0,6,1,5,EAST
743,0,6,1,6,SE
744,0,6,1,7,EAST
745,0,6,1,8,SE
746,0,6,1,9,SE
747,0,6,1,10,SE
748,0,6,2,0,NORTH
749,0,6,2,1,NORTH
750,0,6,2,2,NORTH
751,0,6,2,3,NE
752,0,6,2,4,STAY
753,0,6,2,5,NE
754,0,6,2,6,EAST
755,0,6,2,7,SE
756,0,6,2,8,SE
757,0,6,2,9,SE
758,0,6,2,10,SE
759,0,6,3,0,NORTH
760,0,6,3,1,NORTH
761,0,6,3,2,NE
762,0,6,3,3,NORTH
763,0,6,3,4,EAST
764,0,6,3,5,EAST
765,0,6,3,6,EAST
766,0,6,3,7,SE
767,0,6,3,8,SE
768,0,6,3,9,SE
769,0,6,3,10,SE
770,0,6,4,0,NORTH
771,0,6,4,1,NORTH
772,0,6,4,2,NORTH
773,0,6,4,3,NE
774,0,6,4,4,STAY
775,0,6,4,5,EAST
776,0,6,4,6,STAY
777,0,6,4,7,SE
778,0,6,4,8,SE
779,0,6,4,9,SE
780,0,6,4,10,SE
781,0,6,5,0,NORTH
782,0,6,5,1,STAY
783,0,6,5,2,NE
784,0,6,5,3,NORTH
785,0,6,5,4,EAST
786,0,6,5,5,STAY
787,0,6,5,6,EAST
788,0,6,5,7,SE
789,0,6,5,8,SE
790,0,6,5,9,SE
791,0,6,5,10,SE
792,0,6,6,0,STAY
793,0,6,6,1,EAST
794,0,6,6,2,STAY
795,0,6,6,3,STAY
796,0,6,6,4,STAY
797,0,6,6,5,EAST
798,0,6,6,6,STAY
799,0,6,6,7,EAST
800,0,6,6,8,SE
801,0,6,6,9,SE
802,0,6,6,10,SE
803,0,6,7,0,EAST
804,0,6,7,1,EAST
805,0,6,7,2,EAST
806,0,6,7,3,EAST
807,0,6,7,4,STAY
808,0,6,7,5,EAST
809,0,6,7,6,EAST
810,0,6,7,7,EAST
811,0,6,7,8,EAST
812,0,6,7,9,SE
813,0,6,7,10,EAST
814,0,6,8,0,EAST
815,0,6,8,1,EAST
816,0,6,8,2,EAST
817,0,6,8,3,EAST
818,0,6,8,4,EAST
819,0,6,8,5,EAST
820,0,6,8,6,EAST
821,0,6,8,7,EAST
822,0,6,8,8,EAST
823,0,6,8,9,EAST
824,0,6,8,10,SE
825,0,6,9,0,EAST
826,0,6,9,1,EAST
827,0,6,9,2,EAST
828,0,6,9,3,EAST
829,0,6,9,4,EAST
830,0,6,9,5,EAST
831,0,6,9,6,EAST
832,0,6,9,7,EAST
833,0,6,9,8,EAST
834,0,6,9,9,EAST
835,0,6,9,10,EAST
836,0,6,10,0,EAST
837,0,6,10,1,EAST
838,0,6,10,2,EAST
839,0,6,10,3,STAY
840,0,6,10,4,STAY
841,0,6,10,5,EAST
842,0,6,10,6,EAST
843,0,6,10,7,EAST
844,0,6,10,8,EAST
845,0,6,10,9,EAST
846,0,6,10,10,EAST
847,0,7,0,0,NORTH
848,0,7,0,1,STAY
849,0,7,0,2,NE
850,0,7,0,3,NORTH
851,0,7,0,4,STAY
852,0,7,0,5,NORTH
853,0,7,0,6,EAST
854,0,7,0,7,STAY
855,0,7,0,8,SE
856,0,7,0,9,SOUTH
857,0,7,0,10,SE
858,0,7,1,0,NE
859,0,7,1,1,NE
860,0,7,1,2,NE
861,0,7,1,3,NE
862,0,7,1,4,NORTH
863,0,7,1,5,NE
864,0,7,1,6,EAST
865,0,7,1,7,SE
866,0,7,1,8,EAST
867,0,7,1,9,SE
868,0,7,1,10,SE
869,0,7,2,0,NE
870,0,7,2,1,NE
871,0,7,2,2,NE
872,0,7,2,3,NE
873,0,7,2,4,STAY
874,0,7,2,5,EAST
875,0,7,2,6,NE
876,0,7,2,7,EAST
877,0,7,2,8,SE
878,0,7,2,9,SE
879,0,7,2,10,SE
880,0,7,3,0,NE
881,0,7,3,1,NE
882,0,7,3,2,NE
883,0,7,3,3,NE
884,0,7,3,4,NE
885,0,7,3,5,NE
886,0,7,3,6,NE
887,0,7,3,7,EAST
888,0,7,3,8,SE
889,0,7,3,9,SE
890,0,7,3,10,SE
891,0,7,4,0,NE
892,0,7,4,1,NE
893,0,7,4,2,NE
894,0,7,4,3,NE
895,0,7,4,4,STAY
896,0,7,4,5,NE
897,0,7,4,6,STAY
898,0,7,4,7,EAST
899,0,7,4,8,SE
900,0,7,4,9,SE
901,0,7,4,10,SE
902,0,7,5,0,NE
903,0,7,5,1,STAY
904,0,7,5,2,NE
905,0,7,5,3,NE
906,0,7,5,4,NE
907,0,7,5,5,STAY
908,0,7,5,6,EAST
909,0,7,5,7,EAST
910,0,7,5,8,EAST
911,0,7,5,9,SE
912,0,7,5,10,EAST
913,0,7,6,0,STAY
914,0,7,6,1,NE
915,0,7,6,2,STAY
916,0,7,6,3,STAY
917,0,7,6,4,STAY
918,0,7,6,5,NE
919,0,7,6,6,STAY
920,0,7,6,7,EAST
921,0,7,6,8,EAST
922,0,7,6,9,EAST
923,0,7,6,10,SE
924,0,7,7,0,NE
925,0,7,7,1,NE
926,0,7,7,2,NE
927,0,7,7,3,NE
928,0,7,7,4,STAY
929,0,7,7,5,NE
930,0,7,7,6,NE
931,0,7,7,7,EAST
932,0,7,7,8,EAST
933,0,7,7,9,EAST
934,0,7,7,10,EAST
935,0,7,8,0,NE
936,0,7,8,1,NE
937,0,7,8,2,NE
938,0,7,8,3,NE
939,0,7,8,4,NE
940,0,7,8,5,NE
941,0,7,8,6,NE
942,0,7,8,7,NE
943,0,7,8,8,EAST
944,0,7,8,9,EAST
945,0,7,8,10,EAST
946,0,7,9,0,NE
947,0,7,9,1,NE
948,0,7,9,2,NE
949,0,7,9,3,NE
950,0,7,9,4,NE
951,0,7,9,5,NE
952,0,7,9,6,NE
953,0,7,9,7,NE
954,0,7,9,8,EAST
955,0,7,9,9,EAST
956,0,7,9,10,EAST
957,0,7,10,0,NE
958,0,7,10,1,NE
959,0,7,10,2,NE
960,0,7,10,3,STAY
961,0,7,10,4,STAY
962,0,7,10,5,NE
963,0,7,10,6,NE
964,0,7,10,7,EAST
965,0,7,10,8,EAST
966,0,7,10,9,EAST
967,0,7,10,10,EAST
968,0,8,0,0,NORTH
969,0,8,0,1,STAY
970,0,8,0,2,NORTH
971,0,8,0,3,NORTH
972,0,8,0,4,STAY
973,0,8,0,5,NE
974,0,8,0,6,NORTH
975,0,8,0,7,NE
976,0,8,0,8,STAY
977,0,8,0,9,EAST
978,0,8,0,10,SOUTH
979,0,8,1,0,NORTH
980,0,8,1,1,NORTH
981,0,8,1,2,NORTH
982,0,8,1,3,NORTH
983,0,8,1,4,NORTH
984,0,8,1,5,NE
985,0,8,1,6,NE
986,0,8,1,7,EAST
987,0,8,1,8,NE
988,0,8,1,9,EAST
989,0,8,1,10,SE
990,0,8,2,0,NORTH
991,0,8,2,1,NORTH
